Week,2019,2020,2021,2022,2022 (scheduled capacity),,
2,104274298,107929252,59284496,83977738,,,
3,104274298,106852915,55264419,77942134,,,
4,104274298,106713091,53405622,76273044,,,
5,104274298,106838178,51343627,75737155,,,
6,104540994,101838474,51041966,73768296,,,
7,105874042,94972086,48157567,78908923,,,
8,106047110,93926418,52673328,80087084,,,
9,106161003,94830966,53100131,81241652,,,
10,106106958,97543707,57167167,82118443,,,
11,106470512,94981061,57962810,82010974,,,
12,105979210,90472323,58971062,82087245,,,
13,105702590,69399998,59813372,80799739,,,
14,108666175,48938693,62125215,83401086,,,
15,109493924,37806986,63242810,83928510,,,
16,108982290,32737305,62347642,85203733,,,
17,109884641,31085630,61131134,85712613,,,
18,110063116,32553578,61879859,88560930,,,
19,109675731,30577575,62316622,88952784,,,
20,109692731,31292023,62078017,90707564,,,
21,110120283,33729625,64075249,90522172,,,
22,111780940,34749377,63836742,88548297,,,
23,113958846,36777689,67893305,90660936,,,
24,115793635,37273357,68357971,95226716,,,
25,115532637,39960926,70861939,96596531,,,
26,116574881,39911842,72411107,98507843,,,
27,116330811,48207167,75522830,99891488,,,
28,118488219,49577471,78635778,101441259,,,
29,118898978,53813851,79828215,102164166,,,
30,119079025,55750190,82708203,102071687,,,
31,119123242,57487639,81666365,101783924,,,
32,118998100,60042355,81275317,102347900,,,
33,118795089,59780610,75965491,102553919,,,
34,117968826,59712881,76340121,102475049,,,
35,116619007,59016267,76892280,,104143094,,
36,115270436,58442282,79061672,,104198870,,
37,114726437,57120909,78474119,,103800834,,
38,114288348,57041448,79033260,,103410938,,
39,114126704,56942519,78809380,,103034278,,
40,113337241,58547278,78989027,,103252653,,
41,112687637,58351597,78611081,,103811539,,
42,112351213,57899869,79351052,,103705151,,
43,111254429,56664447,79156928,,103853569,,
44,107178399,55662367,78490982,,101526549,,
45,107049497,55677749,77847746,,89273208,,
46,106576179,54700205,75399503,,,,
47,106716316,54763699,76441045,,,,
48,105395758,55168538,76488537,,,,
49,106409913,55266234,80921524,,,,
50,106689656,55099431,82030851,,,,
51,110221227,59916619,85244203,,,,
52,106863565,60973666,85926652,,,,
53,108258750,61718555,87698547,,,,
